Info 0    [20:43:56.786] Starting TS Server
Info 1    [20:43:56.787] Version: 4.5.4
Info 2    [20:43:56.787] Arguments: /Users/samuelbanya/.nvm/versions/node/v16.14.2/bin/node /usr/local/lib/node_modules/typescript/lib/tsserver.js --logFile /Users/samuelbanya/hub/Development/code/phase-0-intro-to-js-2-errors-and-stack-traces/.log/tsserver.log --logVerbosity info --cancellationPipeName /private/var/folders/g1/tzqw879134sg6jrks5nf5nhm0000gn/T/9b6c40d4e9104424ffb255344a26dc0e/tscancellation*
Info 3    [20:43:56.787] Platform: darwin NodeVersion: 16 CaseSensitive: false
Info 4    [20:43:56.787] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [20:43:56.801] Format host information updated
Info 6    [20:43:56.803] Search path: /Users/samuelbanya/hub/Development/code/phase-0-intro-to-js-2-errors-and-stack-traces
Info 7    [20:43:56.803] For info: /Users/samuelbanya/hub/Development/code/phase-0-intro-to-js-2-errors-and-stack-traces/errors.js :: No config files found.
Info 8    [20:43:56.807] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 9    [20:43:57.279] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 471.88159900158644ms
Info 10   [20:43:57.279] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [20:43:57.279] 	Files (19)

Info 12   [20:43:57.280] -----------------------------------------------
Info 13   [20:43:59.410] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 14   [20:43:59.424] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false structureIsReused:: Completely Elapsed: 14.226850993931293ms
Info 15   [20:43:59.425] Different program with same set of files
Info 16   [20:44:03.176] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 17   [20:44:03.185] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false structureIsReused:: Completely Elapsed: 9.060611002147198ms
Info 18   [20:44:03.185] Different program with same set of files
Info 19   [20:44:05.474] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 20   [20:44:05.482] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false structureIsReused:: Completely Elapsed: 7.507279999554157ms
Info 21   [20:44:05.482] Different program with same set of files
Info 22   [20:45:50.362] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 23   [20:45:50.376] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false structureIsReused:: Completely Elapsed: 12.93622399866581ms
Info 24   [20:45:50.376] Different program with same set of files
Info 25   [20:45:51.224] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 26   [20:45:51.228] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false structureIsReused:: Completely Elapsed: 3.593138001859188ms
Info 27   [20:45:51.228] Different program with same set of files
Info 28   [20:45:51.229] getCompletionData: Get current token: 0.018212996423244476
Info 29   [20:45:51.229] getCompletionData: Is inside comment: 0.08622299879789352
Info 30   [20:45:51.229] getCompletionData: Get previous token: 0.06277299672365189
Info 31   [20:45:51.230] getCompletionsAtPosition: isCompletionListBlocker: 0.33976899832487106
Info 32   [20:45:51.235] getExportInfoMap: cache miss or empty; calculating new results
Info 33   [20:45:51.235] getExportInfoMap: done in 0.9294539988040924 ms
Info 34   [20:45:51.235] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 35   [20:45:51.235] collectAutoImports: response is complete
Info 36   [20:45:51.235] collectAutoImports: 0.09350699931383133
Info 37   [20:45:51.235] getCompletionData: Semantic work: 5.509923994541168
Info 38   [20:45:51.251] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 15.074200995266438
Info 39   [20:45:51.366] getCompletionData: Get current token: 0.008051998913288116
Info 40   [20:45:51.366] getCompletionData: Is inside comment: 0.01848600059747696
Info 41   [20:45:51.366] getCompletionData: Get previous token: 0.028531000018119812
Info 42   [20:45:51.366] getCompletionsAtPosition: isCompletionListBlocker: 0.012722998857498169
Info 43   [20:45:51.367] getExportInfoMap: cache miss or empty; calculating new results
Info 44   [20:45:51.367] getExportInfoMap: done in 0.19623800367116928 ms
Info 45   [20:45:51.367] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 46   [20:45:51.367] collectAutoImports: response is complete
Info 47   [20:45:51.367] collectAutoImports: 0.03246200084686279
Info 48   [20:45:51.367] getCompletionData: Semantic work: 1.6045049950480461
Info 49   [20:45:51.378] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 10.898247994482517
Info 50   [20:45:51.383] getCompletionData: Get current token: 0.010408997535705566
Info 51   [20:45:51.383] getCompletionData: Is inside comment: 0.023080997169017792
Info 52   [20:45:51.383] getCompletionData: Get previous token: 0.02599700540304184
Info 53   [20:45:51.383] getCompletionsAtPosition: isCompletionListBlocker: 0.01933100074529648
Info 54   [20:45:51.386] getExportInfoMap: cache miss or empty; calculating new results
Info 55   [20:45:51.386] getExportInfoMap: done in 0.4261309951543808 ms
Info 56   [20:45:51.386] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 57   [20:45:51.386] collectAutoImports: response is complete
Info 58   [20:45:51.387] collectAutoImports: 0.0938819944858551
Info 59   [20:45:51.387] getCompletionData: Semantic work: 3.279908001422882
Info 60   [20:45:51.398] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 9.489275999367237
Info 61   [20:45:51.403] getCompletionData: Get current token: 0.009337998926639557
Info 62   [20:45:51.403] getCompletionData: Is inside comment: 0.021170996129512787
Info 63   [20:45:51.403] getCompletionData: Get previous token: 0.5832149982452393
Info 64   [20:45:51.404] getCompletionsAtPosition: isCompletionListBlocker: 0.020677000284194946
Info 65   [20:45:51.406] getExportInfoMap: cache miss or empty; calculating new results
Info 66   [20:45:51.406] getExportInfoMap: done in 0.32366400212049484 ms
Info 67   [20:45:51.406] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 68   [20:45:51.406] collectAutoImports: response is complete
Info 69   [20:45:51.406] collectAutoImports: 0.033052004873752594
Info 70   [20:45:51.406] getCompletionData: Semantic work: 2.1874879971146584
Info 71   [20:45:51.412] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 5.773255996406078
Info 72   [20:45:51.415] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 73   [20:45:51.418] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false structureIsReused:: Completely Elapsed: 3.019974000751972ms
Info 74   [20:45:51.418] Different program with same set of files
Info 75   [20:45:51.418] getCompletionData: Get current token: 0.010978996753692627
Info 76   [20:45:51.419] getCompletionData: Is inside comment: 0.03054000437259674
Info 77   [20:45:51.419] getCompletionData: Get previous token: 0.01812399923801422
Info 78   [20:45:51.419] getCompletionsAtPosition: isCompletionListBlocker: 0.015591993927955627
Info 79   [20:45:51.421] getExportInfoMap: cache miss or empty; calculating new results
Info 80   [20:45:51.421] getExportInfoMap: done in 0.8499139994382858 ms
Info 81   [20:45:51.421] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 82   [20:45:51.421] collectAutoImports: response is complete
Info 83   [20:45:51.421] collectAutoImports: 0.03491000086069107
Info 84   [20:45:51.421] getCompletionData: Semantic work: 2.827803999185562
Info 85   [20:45:51.430] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 6.884660996496677
Info 86   [20:45:51.433] getCompletionData: Get current token: 0.00783199816942215
Info 87   [20:45:51.434] getCompletionData: Is inside comment: 0.02187500149011612
Info 88   [20:45:51.434] getCompletionData: Get previous token: 0.021567001938819885
Info 89   [20:45:51.434] getCompletionsAtPosition: isCompletionListBlocker: 0.012866996228694916
